direct_node,direct_matrix,,direct_m_large,direct_m_medium,direct_m_small,,direct_n_large,direct_n_medium,direct_n_small
14.86188889,10.51344444,,7.827,12.802,10.91133333,,18.90066667,16.51666667,9.168333333
17.02877778,14.73955556,,20.722,12.45366667,11.043,,28.83666667,9.241333333,13.00833333
13.16877778,11.74611111,,17.52633333,10.283,7.429,,19.89166667,11.39766667,8.217
14.30444444,12.88944444,,12.83666667,15.27933333,10.55233333,,17.732,12.94566667,12.23566667
14.71455556,9.924111111,,10.88466667,11.24,7.647666667,,19.09766667,15.335,9.711
12.87366667,13.47977778,,13.18066667,17.59333333,9.665333333,,18.30033333,11.29266667,9.028
14.82155556,15.62722222,,22.091,11.80366667,12.987,,17.736,14.98033333,11.74833333
18.82088889,12.65666667,,14.361,12.33533333,11.27366667,,29.42933333,14.61266667,12.42066667
13.59266667,11.153,,14.66033333,9.980666667,8.818,,16.67966667,13.864,10.23433333
14.52955556,14.16344444,,16.396,13.57466667,12.51966667,,19.82166667,14.014,9.753
9.368210526,10.72066667,,12.949,12.9,6.313,,15.482,6.781,6.345428571
11.52888889,9.941444444,,12.61866667,9.363,7.842666667,,12.717,12.93933333,8.930333333
18.56411111,15.08411111,,17.67466667,18.97266667,8.605,,20.13,13.852,21.71033333
24.00622222,16.58222222,,21.98366667,17.11733333,10.64566667,,27.79033333,22.13766667,22.09066667
21.55266667,24.50555556,,37.50033333,18.389,17.62733333,,35.73733333,16.37,12.55066667
16.45255556,13.95222222,,14.579,10.03033333,17.24733333,,27.62033333,10.349,11.38833333
24.54266667,13.14888889,,13.23033333,16.878,9.338333333,,38.33333333,18.614,16.68066667
12.66444444,15.73211111,,18.355,17.45766667,11.38366667,,16.99666667,10.78566667,10.211
17.95555556,11.47322222,,14.88366667,12.088,7.448,,32.99933333,10.31133333,10.556
17.51711111,13.01333333,,13.24533333,16.204,9.590666667,,22.847,18.315,11.38933333
22.72855556,9.713111111,,11.69233333,11.337,6.11,,53.72066667,6.534666667,7.930333333
18.80666667,11.59222222,,13.03133333,11.75733333,9.988,,28.46933333,16.733,11.21766667
15.19788889,16.13877778,,15.431,17.81533333,15.17,,18.63033333,14.69833333,12.265
14.19411111,10.07822222,,10.54333333,11.00633333,8.685,,20.49833333,11.938,10.146
14.768,10.91244444,,12.923,9.169666667,10.64466667,,17.95733333,10.47966667,15.867
15.908,13.77455556,,16.69533333,15.31133333,9.317,,24.362,11.97266667,11.38933333
20.00177778,11.65933333,,14.74666667,10.03733333,10.194,,31.373,16.80733333,11.825
18.19255556,18.488,,18.14266667,21.99666667,15.32466667,,25.97933333,10.07133333,18.527
18.19622222,12.66866667,,16.57833333,10.25633333,11.17133333,,26.40133333,17.941,10.24633333
25.99666667,22.77533333,,23.80466667,26.557,17.96433333,,38.52766667,28.36433333,11.098
