"participant_id","layout","answer","all_large_parallel"
1,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","51.406"
2,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","41.567"
3,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","58.202"
4,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","19.896"
5,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","19.97"
6,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","79.386"
7,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","28.756"
8,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","26.321"
9,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","37.08"
10,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","28.31"
11,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","13.571"
12,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","21.757"
13,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","34.143"
14,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","25.558"
15,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","15.583"
16,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","54.98"
17,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","29.422"
18,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","41.633"
19,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","25.728"
20,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","22.519"
21,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","119.751"
22,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","61.56"
23,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","18.66"
24,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","56.159"
25,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","46.536"
26,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","29.703"
26,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","29.703"
27,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","30.484"
28,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","25.285"
29,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","41.871"
30,"parallel                      ","Early age drinking                                                                                                                                                                                                                                                                                          ","60.214"
