"participant_id","layout","answer","domain_question","all_participants"
1,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","10.224"
1,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","17.876"
1,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","14.983"
2,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.343"
2,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","18.457"
2,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","8.936"
3,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.511"
3,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","13.568"
3,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","14.015"
4,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","23.52"
4,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","17.568"
4,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.936"
5,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","7.552"
5,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","14.058"
5,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","17.159"
6,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","10.805"
6,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.968"
6,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","12.918"
7,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","16.208"
7,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.197"
7,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","21.33"
8,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.352"
8,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","11.454"
8,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","13.704"
9,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.838"
9,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","19.311"
9,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","19.279"
10,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","19.651"
