"participant_id","layout","answer","domain_question","all_participants"
1,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","11.823"
1,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","11.847"
1,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","13.336"
2,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","9.766"
2,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","21.327"
2,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","17.519"
3,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","11.951"
3,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","12.056"
3,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","11.265"
4,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","20.359"
4,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","20.398"
4,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","16.161"
5,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","11.512"
5,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","7.654"
5,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.343"
6,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.789"
6,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","19.388"
6,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","22.457"
7,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","4.794"
7,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.107"
7,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","15.868"
8,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","10.583"
8,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","19.511"
8,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","15.744"
9,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","14.638"
9,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","25.272"
9,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","26.08"
10,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","11.023"
10,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","13.959"
10,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","15.742"
11,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","6.144"
11,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","13.056"
11,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.889"
12,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.192"
12,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.319"
12,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","15.209"
13,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","13.631"
13,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","15.136"
13,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","17.167"
14,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","11.84"
14,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","11.375"
14,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","15.191"
15,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","6.855"
15,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","8.096"
15,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","14.991"
16,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","10.991"
16,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.728"
16,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.372"
17,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","11.723"
17,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","25.071"
17,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","15.986"
18,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","15.474"
18,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.775"
18,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","25.103"
19,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","10.503"
19,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","26.942"
19,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","14.928"
20,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","12.502"
20,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","13.895"
20,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","6.622"
21,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","12.143"
21,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","6.535"
21,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","15.333"
22,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","11.255"
22,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","8.034"
22,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","10.823"
23,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","14.826"
23,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","8.645"
23,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","29.975"
24,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","10.082"
24,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","30.19"
24,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","39.399"
25,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","12.427"
25,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.231"
25,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","14.703"
26,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","8.061"
26,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","8.061"
26,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","20.248"
26,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","10.391"
26,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","20.248"
