"participant_id","layout","answer","domain_question","all_participants"
1,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","12.871"
1,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.336"
1,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","15.631"
2,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","7.064"
2,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.888"
2,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","31.993"
3,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.177"
3,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","11.526"
3,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","26.496"
4,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","14.687"
4,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.303"
4,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","14.566"
5,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","7.952"
5,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","9.504"
5,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.983"
6,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","12.13"
6,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","17.203"
6,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","26.509"
7,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","6.651"
7,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.416"
7,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","37.756"
8,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.959"
8,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","10.431"
8,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","14.447"
9,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.328"
9,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","9.504"
9,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","8.382"
10,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.167"
10,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","15.258"
10,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","17.617"
11,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.305"
11,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","13.898"
11,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","9.615"
12,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","12.015"
12,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.648"
12,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","18.342"
13,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","16.831"
13,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","6.264"
13,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.823"
14,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","22.095"
14,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","11.151"
14,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","16.304"
15,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.872"
15,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","10.728"
15,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","17.992"
16,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","6.615"
16,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","6.315"
16,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","18.117"
17,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","12.483"
