"participant_id","all_node_path_large"
1,"32.223"
1,"21.79"
1,"44.935"
2,"75.463"
2,"36.125"
2,"32.357"
3,"22.17"
3,"25.276"
3,"32.806"
4,"16.672"
4,"88.095"
4,"83.71"
5,"55.169"
5,"53.584"
5,"18.416"
6,"38.862"
6,"18.792"
6,"15.638"
7,"49.624"
7,"36.446"
7,"19.642"
8,"51.398"
8,"76.208"
8,"42.752"
9,"89.216"
9,"39.783"
9,"32.623"
10,"33.334"
10,"25.894"
10,"18.185"
11,"42.672"
11,"13.718"
11,"18.375"
12,"18.687"
12,"14.736"
12,"75.623"
13,"14.743"
13,"14.487"
13,"65.984"
14,"78.471"
14,"50.128"
14,"22.284"
15,"16.928"
15,"74.814"
15,"9.12"
16,"56.775"
16,"92.475"
16,"30.991"
17,"37.528"
17,"19.424"
17,"9.201"
18,"32.41"
18,"68.622"
18,"27.794"
19,"14.558"
19,"28.542"
19,"29.256"
20,"26.831"
20,"27.983"
20,"17.791"
21,"17.367"
21,"12.34"
21,"38.106"
22,"18.471"
22,"52.636"
22,"62.045"
23,"23.622"
23,"76.686"
23,"53.011"
24,"122.853"
24,"69.01"
24,"51.503"
25,"37.623"
25,"20.268"
25,"73.582"
26,"30.71"
26,"30.71"
26,"42.104"
26,"42.104"
26,"25.783"
26,"25.783"
27,"15.473"
27,"58.739"
27,"46.178"
28,"54.332"
28,"72.542"
28,"28.771"
29,"21.969"
29,"23.172"
29,"48.16"
30,"45.592"
30,"9.559"
30,"25.399"
