"participant_id","layout","answer","domain_question","all_participants"
1,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","16.295"
1,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.831"
1,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","12.136"
2,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.784"
2,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.696"
2,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","13.688"
3,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","16.032"
3,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","6.992"
3,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","10.629"
4,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","38.459"
4,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","7.904"
4,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","18.768"
5,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.2"
5,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","14.751"
5,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","21.65"
6,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","23.026"
6,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.582"
6,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","14.434"
7,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.483"
7,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","10.698"
7,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","14.558"
8,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.522"
8,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","8.61"
8,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","14.575"
9,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","25.286"
9,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","14.512"
9,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.783"
10,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","13.804"
10,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.742"
10,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","7.713"
11,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8"
11,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","10"
11,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","8.791"
