"participant_id","all_participants"
1,"33.784"
1,"27.351"
1,"11.527"
1,"16.295"
1,"13.655"
1,"12.871"
1,"45.327"
1,"32.223"
1,"11.823"
1,"22.727"
1,"45.104"
1,"15.336"
1,"11.222"
1,"46.35"
1,"27.295"
1,"23.715"
1,"25.355"
1,"21.79"
1,"10.224"
1,"8.944"
1,"11.847"
1,"47.614"
1,"44.935"
1,"45.031"
1,"51.406"
1,"36.62"
1,"17.876"
1,"8.831"
1,"62.654"
1,"12.136"
1,"28.07"
1,"35.991"
1,"15.631"
1,"14.983"
1,"13.336"
1,"64.223"
2,"12.311"
2,"9.158"
2,"75.463"
2,"12.047"
2,"29.032"
2,"14.296"
2,"14.663"
2,"41.567"
2,"19.976"
2,"9.766"
2,"8.784"
2,"19.863"
2,"12.488"
2,"12.343"
2,"7.064"
2,"15.888"
2,"36.125"
2,"18.457"
2,"37.471"
2,"16.776"
2,"32.357"
2,"11.696"
2,"8.936"
2,"31.993"
2,"42.879"
2,"9.864"
2,"43.687"
2,"17.736"
2,"21.327"
2,"21.56"
2,"13.688"
2,"9.75"
2,"47.929"
2,"41.591"
2,"26.297"
2,"17.519"
3,"11.511"
3,"13.568"
3,"22.17"
3,"7.609"
3,"12.177"
3,"7.515"
3,"17.487"
3,"11.951"
3,"9.12"
3,"12.056"
3,"62.649"
3,"12.232"
3,"20.723"
3,"34.08"
3,"16.032"
3,"11.526"
3,"35.12"
3,"14.008"
3,"13.235"
3,"6.992"
3,"14.015"
3,"15.409"
3,"25.277"
3,"26.664"
3,"11.265"
3,"17.639"
3,"10.629"
3,"45.834"
3,"25.276"
3,"22.616"
3,"58.202"
3,"44.895"
3,"15.592"
3,"26.496"
3,"6.483"
3,"32.806"
4,"12.56"
4,"16.672"
4,"14.687"
4,"23.52"
4,"17.568"
4,"6.672"
4,"7.798"
4,"292.141"
4,"8.655"
4,"13.117"
4,"41.583"
4,"38.459"
4,"7.904"
4,"19.631"
4,"79.047"
4,"29.959"
4,"12.303"
4,"31.079"
4,"20.359"
4,"11.936"
4,"14.566"
4,"88.095"
4,"46.201"
4,"18.255"
4,"20.398"
4,"78.134"
4,"16.161"
4,"8.463"
4,"12.919"
4,"19.896"
4,"83.71"
4,"124.959"
4,"18.768"
4,"32.031"
4,"10.488"
4,"50.846"
5,"55.169"
5,"19.704"
5,"7.552"
5,"10.08"
5,"7.952"
5,"11.512"
5,"53.584"
5,"25.022"
5,"10.593"
5,"21.631"
5,"11.511"
5,"7.654"
5,"9.504"
5,"23.215"
5,"31.319"
5,"26.477"
5,"14.058"
5,"34.781"
5,"11.2"
5,"13.983"
5,"19.97"
5,"21.767"
5,"22.231"
5,"15.264"
5,"17.159"
5,"8.702"
5,"14.751"
5,"10.015"
5,"23.263"
5,"11.839"
5,"12.296"
5,"14.68"
5,"8.343"
5,"21.65"
5,"23.309"
5,"18.416"
6,"24.681"
6,"28.374"
6,"8.789"
6,"10.805"
6,"15.968"
6,"6.753"
6,"33.414"
6,"18.934"
6,"11.936"
6,"23.162"
6,"38.862"
6,"9.326"
6,"23.026"
6,"55.25"
6,"37.102"
6,"19.243"
6,"12.13"
6,"18.005"
6,"14.017"
6,"12.582"
6,"17.203"
6,"18.792"
6,"20.166"
6,"25.167"
6,"19.388"
6,"42.484"
6,"22.457"
6,"79.386"
6,"12.865"
6,"12.918"
6,"15.638"
6,"81.804"
6,"14.434"
6,"21.597"
6,"26.509"
6,"57.134"
7,"17.918"
7,"23.675"
7,"4.794"
7,"5.483"
7,"10.698"
7,"6.651"
7,"23.242"
7,"17.618"
7,"9.416"
7,"7.539"
7,"49.624"
7,"13.368"
7,"10.511"
7,"36.446"
7,"20.429"
7,"11.452"
7,"10.107"
7,"35.447"
