"participant_id","all_participants"
1,"11.527"
1,"16.295"
1,"12.871"
1,"15.336"
1,"25.355"
1,"51.406"
1,"8.831"
1,"12.136"
1,"15.631"
2,"12.311"
2,"14.663"
2,"41.567"
2,"8.784"
2,"7.064"
2,"15.888"
2,"11.696"
2,"31.993"
2,"13.688"
3,"12.177"
3,"20.723"
3,"16.032"
3,"11.526"
3,"6.992"
3,"10.629"
3,"58.202"
3,"26.496"
3,"6.483"
4,"14.687"
4,"38.459"
4,"7.904"
4,"12.303"
4,"14.566"
4,"8.463"
4,"19.896"
4,"18.768"
4,"32.031"
5,"7.952"
5,"10.593"
5,"9.504"
5,"11.2"
5,"13.983"
5,"19.97"
5,"14.751"
5,"21.65"
5,"23.309"
6,"23.026"
6,"12.13"
6,"14.017"
6,"12.582"
6,"17.203"
6,"79.386"
6,"14.434"
6,"21.597"
6,"26.509"
7,"5.483"
7,"10.698"
7,"6.651"
7,"9.416"
7,"28.756"
7,"14.558"
7,"26.254"
7,"24.194"
7,"37.756"
8,"15.191"
8,"13.522"
8,"26.321"
8,"13.959"
8,"11.684"
8,"8.61"
8,"10.431"
8,"14.447"
8,"14.575"
9,"25.286"
9,"14.512"
9,"12.328"
9,"9.504"
9,"23.639"
9,"37.08"
9,"8.382"
9,"17.219"
9,"15.783"
10,"9.167"
10,"28.31"
10,"13.804"
10,"7.742"
10,"15.258"
10,"17.617"
10,"15.469"
10,"15.686"
10,"7.713"
11,"15.305"
11,"13.571"
11,"8"
11,"13.898"
11,"14.212"
11,"10"
11,"9.615"
11,"8.791"
11,"10.368"
12,"21.757"
12,"13.759"
12,"9.783"
12,"7.735"
12,"12.015"
12,"11.615"
12,"15.648"
12,"18.342"
12,"21.777"
13,"15.872"
13,"9.824"
13,"16.831"
13,"23.071"
13,"8.264"
13,"6.264"
13,"34.143"
13,"12.823"
13,"16.08"
14,"14.848"
14,"16.296"
14,"5.032"
14,"9.777"
14,"22.095"
14,"25.558"
14,"11.151"
14,"16.304"
14,"12.696"
15,"10.312"
15,"15.583"
15,"10.121"
15,"11.896"
15,"8.495"
15,"12.872"
15,"10.728"
15,"24.335"
15,"17.992"
16,"6.615"
16,"6.315"
16,"18.117"
16,"10.871"
16,"9.073"
16,"11.006"
16,"17.01"
16,"14.086"
16,"54.98"
17,"9.734"
17,"12.483"
17,"9.441"
17,"14.84"
17,"7.909"
17,"7.184"
17,"10.639"
17,"29.422"
17,"14.211"
18,"15.656"
18,"29.975"
18,"29.699"
18,"18.762"
18,"17.952"
18,"41.633"
18,"12.329"
18,"26.082"
18,"23.968"
19,"9.159"
19,"6.859"
19,"14.615"
19,"8.381"
19,"7.367"
19,"17.895"
19,"9.128"
19,"25.728"
19,"14.848"
20,"8.84"
20,"17.183"
20,"22.519"
20,"12.616"
20,"10.943"
20,"26.36"
20,"9.119"
20,"10.376"
20,"9.791"
21,"6.873"
21,"5.391"
21,"7.199"
21,"4.536"
21,"119.751"
21,"7.869"
21,"24.328"
21,"17.083"
21,"11.527"
22,"16.248"
22,"11.655"
22,"17.04"
22,"15.519"
22,"11.73"
22,"11.791"
22,"61.56"
22,"11.954"
22,"22.519"
23,"8.66"
23,"15.423"
23,"14.997"
23,"21.808"
23,"18.66"
23,"15.592"
23,"13.506"
23,"8.352"
23,"19.783"
24,"56.159"
24,"15.623"
24,"13.527"
24,"5.664"
24,"23.511"
24,"28.801"
24,"14.103"
24,"32.781"
24,"43.801"
25,"5.597"
25,"16.879"
25,"12.351"
25,"17.495"
25,"9.179"
25,"9.728"
25,"23.095"
25,"12.399"
25,"46.536"
26,"1.084"
26,"5.639"
26,"5.639"
26,"7.155"
26,"7.155"
26,"7.336"
26,"7.296"
26,"8.692"
26,"7.336"
26,"7.296"
26,"8.692"
26,"6.509"
26,"6.509"
26,"9.447"
26,"29.703"
26,"6.679"
26,"9.447"
26,"29.703"
26,"6.679"
27,"10.592"
27,"8.055"
27,"16.551"
27,"12.64"
27,"7.341"
27,"15.546"
27,"5.63"
27,"11.68"
27,"30.484"
28,"11.811"
28,"16.988"
28,"10.758"
28,"20.375"
28,"25.285"
28,"7.548"
28,"11.798"
28,"11.636"
28,"17.195"
29,"43.728"
29,"7.863"
29,"15.166"
29,"10.04"
29,"7.711"
29,"13.183"
29,"13.399"
29,"41.871"
29,"8.639"
30,"18.311"
30,"12.944"
30,"15.302"
30,"25.951"
30,"10.215"
30,"10.535"
30,"11.815"
30,"28.687"
30,"60.214"
