"participant_id","layout","answer","domain_question","all_participants"
1,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","13.655"
1,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","11.222"
1,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","8.944"
2,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","9.158"
2,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","9.864"
2,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","9.75"
3,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","7.609"
3,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","9.12"
3,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","13.235"
4,"alpha                         ","Childhood issues                                                                                                                                                                                                                                                                                            ","drinking                      ","6.672"
4,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","8.655"
4,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","10.488"
5,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","10.08"
5,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","10.015"
5,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","11.839"
6,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","6.753"
6,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","11.936"
6,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","9.326"
7,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","13.368"
7,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","10.511"
7,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","9.635"
8,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","6.778"
8,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","12.36"
8,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","12.519"
9,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","12.686"
9,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","15.471"
9,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","17.817"
