"participant_id","layout","answer","d_hier_large"
1,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","25.355"
2,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","14.663"
3,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","6.483"
4,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","32.031"
5,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","10.593"
6,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","14.017"
7,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","26.254"
8,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","15.191"
9,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","17.219"
10,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","15.469"
11,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","10.368"
12,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","13.759"
13,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","23.071"
14,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","14.848"
15,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","10.121"
16,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","10.871"
17,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","10.639"
18,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","15.656"
19,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","7.367"
20,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","26.36"
21,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","17.083"
22,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","15.519"
23,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","15.423"
24,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","43.801"
25,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","23.095"
26,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","7.296"
26,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","7.296"
27,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","16.551"
28,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","7.548"
29,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","43.728"
30,"hier                          ","Obesity                                                                                                                                                                                                                                                                                                     ","28.687"
