"participant_id","layout","answer","d_organic_large"
1,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","11.527"
2,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","12.311"
3,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","20.723"
4,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","8.463"
5,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","23.309"
6,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","21.597"
7,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","24.194"
8,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","11.684"
9,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","23.639"
10,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","15.686"
11,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","14.212"
12,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","21.777"
13,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","15.872"
14,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","16.296"
15,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","24.335"
16,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","17.01"
17,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","14.84"
18,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","26.082"
19,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","17.895"
20,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","12.616"
21,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","24.328"
22,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","17.04"
23,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","21.808"
24,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","15.623"
25,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","16.879"
26,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","9.447"
26,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","9.447"
27,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","12.64"
28,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","20.375"
29,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","13.399"
30,"organic                       ","Pass exams                                                                                                                                                                                                                                                                                                  ","18.311"
