"participant_id","all_participants"
1,"11.527"
1,"25.355"
1,"51.406"
2,"12.311"
2,"14.663"
2,"41.567"
3,"20.723"
3,"58.202"
3,"6.483"
4,"8.463"
4,"19.896"
4,"32.031"
5,"10.593"
5,"19.97"
5,"23.309"
6,"14.017"
6,"79.386"
6,"21.597"
7,"28.756"
7,"26.254"
7,"24.194"
8,"15.191"
8,"26.321"
8,"11.684"
9,"23.639"
9,"37.08"
9,"17.219"
10,"28.31"
10,"15.469"
10,"15.686"
11,"13.571"
11,"14.212"
11,"10.368"
12,"21.757"
12,"13.759"
12,"21.777"
13,"15.872"
13,"23.071"
13,"34.143"
14,"14.848"
14,"16.296"
14,"25.558"
15,"15.583"
15,"10.121"
15,"24.335"
16,"10.871"
16,"17.01"
16,"54.98"
17,"14.84"
17,"10.639"
17,"29.422"
18,"15.656"
18,"41.633"
18,"26.082"
19,"7.367"
19,"17.895"
19,"25.728"
20,"22.519"
20,"12.616"
20,"26.36"
21,"119.751"
21,"24.328"
21,"17.083"
22,"17.04"
22,"15.519"
22,"61.56"
23,"15.423"
23,"21.808"
23,"18.66"
24,"56.159"
24,"15.623"
24,"43.801"
25,"16.879"
25,"23.095"
25,"46.536"
26,"7.296"
26,"7.296"
26,"9.447"
26,"29.703"
26,"9.447"
26,"29.703"
27,"16.551"
27,"12.64"
27,"30.484"
28,"20.375"
28,"25.285"
28,"7.548"
29,"43.728"
29,"13.399"
29,"41.871"
30,"18.311"
30,"28.687"
30,"60.214"
