participant_id,direct_node,direct_matrix,,direct_m_large,direct_m_medium,direct_m_small,,direct_n_large,direct_n_medium,direct_n_small,,participant ID,parallel_large_direct,hier_large_direct,organic_large_direct,,indd_large_direct,outdd_large_direct,alpha_large_direct,,indd_small_direct,outdd_small_direct,alpha_small_direct,
14,14.86188889,10.51344444,,7.827,12.802,10.91133333,,18.90066667,16.51666667,9.168333333,,1,51.406,25.355,11.527,,14.983,10.224,17.876,,11.222,8.944,13.655,
25,17.02877778,14.73955556,,20.722,12.45366667,11.043,,28.83666667,9.241333333,13.00833333,,2,41.567,14.663,12.311,,12.343,8.936,18.457,,9.864,9.75,9.158,
27,13.16877778,11.74611111,,17.52633333,10.283,7.429,,19.89166667,11.39766667,8.217,,3,58.202,6.483,20.723,,11.511,13.568,14.015,,13.235,7.609,9.12,
8,14.30444444,12.88944444,,12.83666667,15.27933333,10.55233333,,17.732,12.94566667,12.23566667,,4,19.896,32.031,8.463,,11.936,17.568,23.52,,10.488,8.655,6.672,
12,14.71455556,9.924111111,,10.88466667,11.24,7.647666667,,19.09766667,15.335,9.711,,5,19.97,10.593,23.309,,17.159,7.552,14.058,,10.08,11.839,10.015,
17,12.87366667,13.47977778,,13.18066667,17.59333333,9.665333333,,18.30033333,11.29266667,9.028,,6,79.386,14.017,21.597,,15.968,10.805,12.918,,11.936,6.753,9.326,
28,14.82155556,15.62722222,,22.091,11.80366667,12.987,,17.736,14.98033333,11.74833333,,7,28.756,26.254,24.194,,12.197,16.208,21.33,,13.368,9.635,10.511,
1,18.82088889,12.65666667,,14.361,12.33533333,11.27366667,,29.42933333,14.61266667,12.42066667,,8,26.321,15.191,11.684,,13.352,11.454,13.704,,12.519,6.778,12.36,
15,13.59266667,11.153,,14.66033333,9.980666667,8.818,,16.67966667,13.864,10.23433333,,9,37.08,17.219,23.639,,15.838,19.279,19.311,,17.817,15.471,12.686,
10,14.52955556,14.16344444,,16.396,13.57466667,12.51966667,,19.82166667,14.014,9.753,,10,28.31,15.469,15.686,,17.244,12.293,19.651,,16.329,13.949,7.281,
26,9.368210526,10.72066667,,12.949,12.9,6.313,,15.482,6.781,6.345428571,,11,13.571,10.368,14.212,,13.458,14.313,10.085,,7.559,4.834,11.135,
11,11.52888889,9.941444444,,12.61866667,9.363,7.842666667,,12.717,12.93933333,8.930333333,,12,21.757,13.759,21.777,,12.934,7.672,12.048,,5.944,9.392,7.607,
4,18.56411111,15.08411111,,17.67466667,18.97266667,8.605,,20.13,13.852,21.71033333,,13,34.143,23.071,15.872,,9.367,9.784,30.935,,8.136,12.168,7.647,
18,24.00622222,16.58222222,,21.98366667,17.11733333,10.64566667,,27.79033333,22.13766667,22.09066667,,14,25.558,14.848,16.296,,8.288,7.314,7.879,,6.015,20.328,6.391,
30,21.55266667,24.50555556,,37.50033333,18.389,17.62733333,,35.73733333,16.37,12.55066667,,15,15.583,10.121,24.335,,10.806,17.168,16.007,,7.631,7.559,11.264,
16,16.45255556,13.95222222,,14.579,10.03033333,17.24733333,,27.62033333,10.349,11.38833333,,16,54.98,10.871,17.01,,13.447,20.587,9.703,,18.648,8.184,24.91,
6,24.54266667,13.14888889,,13.23033333,16.878,9.338333333,,38.33333333,18.614,16.68066667,,17,29.422,10.639,14.84,,13.013,12.87,13.659,,12.285,6.967,9.744,
19,12.66444444,15.73211111,,18.355,17.45766667,11.38366667,,16.99666667,10.78566667,10.211,,18,41.633,15.656,26.082,,34.2,13.071,18.68,,8.527,10.015,13.395,
29,17.95555556,11.47322222,,14.88366667,12.088,7.448,,32.99933333,10.31133333,10.556,,19,25.728,7.367,17.895,,20.199,15.883,18.983,,8.849,6.879,18.423,
2,17.51711111,13.01333333,,13.24533333,16.204,9.590666667,,22.847,18.315,11.38933333,,20,22.519,26.36,12.616,,8,9.832,13.798,,7.656,5.839,12.56,
21,22.72855556,9.713111111,,11.69233333,11.337,6.11,,53.72066667,6.534666667,7.930333333,,21,119.751,17.083,24.328,,16.853,9.479,8.745,,5.552,6.152,6.626,
3,18.80666667,11.59222222,,13.03133333,11.75733333,9.988,,28.46933333,16.733,11.21766667,,22,61.56,15.519,17.04,,20.237,12.43,11.573,,5.433,14.518,10.631,
23,15.19788889,16.13877778,,15.431,17.81533333,15.17,,18.63033333,14.69833333,12.265,,23,18.66,15.423,21.808,,17.331,8.374,20.588,,10.282,7.796,27.432,
20,14.19411111,10.07822222,,10.54333333,11.00633333,8.685,,20.49833333,11.938,10.146,,24,56.159,43.801,15.623,,23.6,31.512,16.302,,16.935,11.087,25.871,
5,14.768,10.91244444,,12.923,9.169666667,10.64466667,,17.95733333,10.47966667,15.867,,25,46.536,23.095,16.879,,13.055,16.903,32.208,,14.971,5.46,12.698,
13,15.908,13.77455556,,16.69533333,15.31133333,9.317,,24.362,11.97266667,11.38933333,,26,29.703,7.296,9.447,,13.408,13.535,11.904,,7.398,5.682,5.859,
22,20.00177778,11.65933333,,14.74666667,10.03733333,10.194,,31.373,16.80733333,11.825,,27,30.484,16.551,12.64,,14.51,25.787,12.282,,6.8,6.308,9.179,
9,18.19255556,18.488,,18.14266667,21.99666667,15.32466667,,25.97933333,10.07133333,18.527,,28,25.285,7.548,20.375,,26.065,24.524,15.684,,10.355,11.721,16.885,
7,18.19622222,12.66866667,,16.57833333,10.25633333,11.17133333,,26.40133333,17.941,10.24633333,,29,41.871,43.728,13.399,,13.718,17.151,13.782,,7.762,8.158,6.424,
24,25.99666667,22.77533333,,23.80466667,26.557,17.96433333,,38.52766667,28.36433333,11.098,,30,60.214,28.687,18.311,,15.255,26.791,70.455,,6.903,9.099,36.88,
average,16.89532183,13.62824074,,16.03646667,14.06633333,10.78192222,,24.76661111,14.00651111,11.92963651,,,38.86703333,17.96886667,17.46393333,,15.3425,14.76223333,18.00466667,,10.34996667,9.250966667,12.74483333,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
