participant_id,hier_large_path,organic_path_large,parallel_path_large
1,32.223,21.79,44.935
2,32.357,36.125,75.463
3,25.276,32.806,22.17
4,88.095,83.71,16.672
5,18.416,53.584,55.169
6,38.862,18.792,15.638
7,19.642,36.446,49.624
8,42.752,51.398,76.208
9,39.783,89.216,32.623
10,25.894,33.334,18.185
11,13.718,42.672,18.375
12,18.687,75.623,14.736
13,14.743,14.487,65.984
14,22.284,50.128,78.471
15,16.928,74.814,9.12
16,30.991,56.775,92.475
17,19.424,37.528,9.201
18,32.41,68.622,27.794
19,28.542,29.256,14.558
20,27.983,26.831,17.791
21,17.367,38.106,12.34
22,18.471,62.045,52.636
23,23.622,76.686,53.011
24,51.503,69.01,122.853
25,37.623,20.268,73.582
26,25.783,42.104,30.71
27,58.739,46.178,15.473
28,72.542,54.332,28.771
29,23.172,48.16,21.969
30,25.399,45.592,9.559
