participant ID,parallel_large_direct,hier_large_direct,organic_large_direct
1,51.406,25.355,11.527
2,41.567,14.663,12.311
3,58.202,6.483,20.723
4,19.896,32.031,8.463
5,19.97,10.593,23.309
6,79.386,14.017,21.597
7,28.756,26.254,24.194
8,26.321,15.191,11.684
9,37.08,17.219,23.639
10,28.31,15.469,15.686
11,13.571,10.368,14.212
12,21.757,13.759,21.777
13,34.143,23.071,15.872
14,25.558,14.848,16.296
15,15.583,10.121,24.335
16,54.98,10.871,17.01
17,29.422,10.639,14.84
18,41.633,15.656,26.082
19,25.728,7.367,17.895
20,22.519,26.36,12.616
21,119.751,17.083,24.328
22,61.56,15.519,17.04
23,18.66,15.423,21.808
24,56.159,43.801,15.623
25,46.536,23.095,16.879
26,29.703,7.296,9.447
27,30.484,16.551,12.64
28,25.285,7.548,20.375
29,41.871,43.728,13.399
30,60.214,28.687,18.311
