matrix_indd_path_small,matrix_outdd_path_small,matrix_alpha_path_small
23.715,27.295,36.62
16.776,29.032,12.047
14.008,35.12,17.639
7.798,50.846,13.117
14.68,19.704,12.296
57.134,23.162,12.865
42.224,20.797,11.452
81.598,19.903,10.197
33.455,34.724,28.344
17.765,16.307,115.755
10.811,22.784,9.743
60.991,28.399,12.887
27.296,31.887,13.639
21.536,51.974,20.455
11.967,20.103,10.504
85.311,22.712,8.686
43.376,15.193,11.447
24.607,25.42,23.604
21.79,47.911,22.016
21.672,24.688,19.718
19.169,20.599,14.902
10.253,34.239,14.512
29.936,24.251,40.45
22.127,27.031,25.015
21.203,34.88,68.023
17.584,19.513,35.815
17.952,38.631,12.876
27.948,29.9,12.013
23.352,24.535,12.343
78.11,63.383,54.585
