matrix_d_i_medium	matrix_d_o_medium	matrix_d_a_medium
11.847	13.336	11.823
17.519	9.766	21.327
12.056	11.265	11.951
20.359	16.161	20.398
11.512	7.654	8.343
22.457	19.388	8.789
4.794	10.107	15.868
10.583	15.744	19.511
26.08	14.638	25.272
15.742	11.023	13.959
13.056	6.144	8.889
15.209	10.319	8.192
15.136	13.631	17.167
11.375	11.84	15.191
14.991	8.096	6.855
10.991	10.372	8.728
15.986	11.723	25.071
25.103	10.775	15.474
26.942	14.928	10.503
6.622	13.895	12.502
12.143	15.333	6.535
10.823	8.034	11.255
14.826	8.645	29.975
10.082	39.399	30.19
14.703	10.231	12.427
8.061	20.248	10.391
11.5	11.101	8.248
19.301	7.912	8.198
12.714	8.535	15.015
16.792	10.639	27.736
