participant_id,node_h_path_small,node_p_path_small,node_o_path_small
1,28.07,35.991,27.351
2,41.591,21.56,17.736
3,25.277,15.592,12.232
4,29.959,12.919,18.255
5,23.215,21.767,11.511
6,37.102,25.167,19.243
7,28.936,20.429,13.751
8,29.855,17.712,11.456
9,43.4,23.798,24.753
10,28.207,14.234,18.596
11,19.613,19.11,12.654
12,26.608,35.365,16.464
13,22.616,16.744,16.622
14,20.807,21.631,14.799
15,22.495,15.423,7.623
16,20.352,13.246,34.655
17,21.973,20.268,18.57
18,27.749,27.903,16.965
19,25.735,18.198,13.335
20,22.945,28.376,9.015
21,20.023,23.16,9.127
22,32.086,19.45,10.741
23,38.46,26.818,41.134
24,34.799,51.343,33.382
25,21.248,19.647,65.455
26,18.742,12.023,9.711
27,28.917,17.557,16.384
28,25.198,19.108,19.355
29,19.192,26.568,15.252
30,34.086,29.328,32.364
