parallel_small_direct,hier_small_direct,organic_small_direct
16.295,8.831,12.136
13.688,8.784,11.696
10.629,6.992,16.032
38.459,7.904,18.768
21.65,14.751,11.2
14.434,12.582,23.026
14.558,5.483,10.698
8.61,13.522,14.575
25.286,15.783,14.512
13.804,7.713,7.742
10,8,8.791
9.783,11.615,7.735
9.824,16.08,8.264
12.696,5.032,9.777
10.312,8.495,11.896
14.086,9.073,11.006
9.441,9.734,7.909
23.968,12.329,29.975
14.615,6.859,9.159
10.943,10.376,9.119
6.873,5.391,11.527
11.791,11.954,11.73
19.783,8.352,8.66
14.103,5.664,13.527
12.351,17.495,9.179
8.692,4.120666667,7.336
7.341,5.63,11.68
11.636,11.811,11.798
15.166,8.639,7.863
15.302,10.535,11.815
