question_id,participant_id,time,correct,type,size,layout,domain_question
24,1,33.784,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
4,1,27.351,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
27,1,11.527,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
5,1,16.295,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
7,1,13.655,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
17,1,12.871,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
22,1,45.327,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
26,1,32.223,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
19,1,11.823,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
18,1,22.727,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
34,1,45.104,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
15,1,15.336,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
11,1,11.222,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
32,1,46.35,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
10,1,27.295,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
12,1,23.715,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
25,1,25.355,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
28,1,21.79,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
33,1,10.224,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
9,1,8.944,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
23,1,11.847,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
36,1,47.614,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
30,1,44.935,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
14,1,45.031,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
29,1,51.406,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
8,1,36.62,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
31,1,17.876,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
1,1,8.831,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
16,1,62.654,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
3,1,12.136,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
2,1,28.07,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
6,1,35.991,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
13,1,15.631,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
35,1,14.983,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
21,1,13.336,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
20,1,64.223,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
27,2,12.311,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
7,2,9.158,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
30,2,75.463,no                            ,node-linked                   ,large                         ,parallel                      ,drinking                      
8,2,12.047,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
10,2,29.032,no                            ,matrix                        ,small                         ,outDD                         ,gym                           
20,2,14.296,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
25,2,14.663,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
29,2,41.567,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
22,2,19.976,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
21,2,9.766,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
1,2,8.784,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
18,2,19.863,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
14,2,12.488,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
35,2,12.343,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
13,2,7.064,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
15,2,15.888,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
28,2,36.125,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
31,2,18.457,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
36,2,37.471,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
12,2,16.776,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
