indd_small_direct,outdd_small_direct,alpha_small_direct
11.222,8.944,13.655
9.864,9.75,9.158
13.235,7.609,9.12
10.488,8.655,6.672
10.08,11.839,10.015
11.936,6.753,9.326
13.368,9.635,10.511
12.519,6.778,12.36
17.817,15.471,12.686
16.329,13.949,7.281
7.559,4.834,11.135
5.944,9.392,7.607
8.136,12.168,7.647
6.015,20.328,6.391
7.631,7.559,11.264
18.648,8.184,24.91
12.285,6.967,9.744
8.527,10.015,13.395
8.849,6.879,18.423
7.656,5.839,12.56
5.552,6.152,6.626
5.433,14.518,10.631
10.282,7.796,27.432
16.935,11.087,25.871
14.971,5.46,12.698
7.398,5.682,5.859
6.8,6.308,9.179
10.355,11.721,16.885
7.762,8.158,6.424
6.903,9.099,36.88
