"question_id","participant_id","time","options_checked"
4,1,"40.111","{""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                                                                                    "
5,1,"62.188","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
7,1,"74.775","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
17,1,"92.415","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
18,1,"78.333","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
15,1,"55.902","{""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                                                                                    "
11,1,"81.726","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
10,1,"86.757","{""gym buddy                                         "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                                                                                    "
12,1,"80.871","{""gym buddy                                         "",""inability to focus                                "",""large gym                                         "",""join sports societies     ""}                                                                                                                                                                                                                                                                                                                       "
9,1,"50.752","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
14,1,"250.187","{""pass exams                                        "",""doesn't miss deadlines                            "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                                                                                    "
8,1,"90.862","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
1,1,"247.533","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
16,1,"135.638","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
3,1,"180.334","{""negative parenting                                "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                                                                                                                                         "
2,1,"227.525","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
6,1,"148.788","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
13,1,"213.034","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
7,2,"42.16","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
8,2,"75.606","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
10,2,"43.078","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
1,2,"92.918","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
18,2,"45.713","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
14,2,"127.245","{""pass exams                                        "",""doesn't miss deadlines                            "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                                                                                    "
13,2,"49.296","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
15,2,"41.966","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
12,2,"67.734","{""gym buddy                                         "",""inability to focus                                "",""doing sports                                      "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                          "
3,2,"143.117","{""negative parenting                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                                                                                    "
17,2,"49.046","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
