"question_id","participant_id","answer","time","correct"
24,1,"collider                                          ","47.876","yes                                               "
4,1,"collider                                          ","26.089","yes                                               "
5,1,"collider                                          ","18.976","yes                                               "
7,1,"collider                                          ","14.75","yes                                               "
17,1,"collider                                          ","67.07","yes                                               "
22,1,"collider                                          ","79.562","yes                                               "
19,1,"confounder                                        ","83.671","no                                                "
18,1,"confounder                                        ","32.295","no                                                "
15,1,"collider                                          ","16.447","no                                                "
11,1,"none                                              ","21.055","yes                                               "
10,1,"collider                                          ","10.093","yes                                               "
12,1,"none                                              ","29.241","yes                                               "
9,1,"collider                                          ","26.095","no                                                "
23,1,"collider                                          ","35.855","no                                                "
14,1,"confounder                                        ","7.831","yes                                               "
8,1,"confounder                                        ","19.24","yes                                               "
1,1,"collider                                          ","11.911","yes                                               "
16,1,"none                                              ","17.524","yes                                               "
3,1,"confounder                                        ","12.731","yes                                               "
2,1,"confounder                                        ","12.752","yes                                               "
6,1,"confounder                                        ","91.301","yes                                               "
13,1,"collider                                          ","104.345","yes                                               "
21,1,"confounder                                        ","21.4","yes                                               "
20,1,"collider                                          ","24.661","yes                                               "
7,2,"collider                                          ","18.439","yes                                               "
8,2,"confounder                                        ","7.631","yes                                               "
10,2,"collider                                          ","4.671","yes                                               "
20,2,"collider                                          ","25.64","yes                                               "
22,2,"collider                                          ","33.615","yes                                               "
21,2,"confounder                                        ","34.151","yes                                               "
1,2,"collider                                          ","18.896","yes                                               "
18,2,"collider                                          ","30.088","yes                                               "
14,2,"confounder                                        ","19.391","yes                                               "
13,2,"collider                                          ","11.936","yes                                               "
15,2,"confounder                                        ","40.239","yes                                               "
12,2,"none                                              ","5.607","yes                                               "
3,2,"confounder                                        ","21.584","yes                                               "
17,2,"collider                                          ","52.166","yes                                               "
11,2,"none                                              ","7.137","yes                                               "
4,2,"collider                                          ","14.383","yes                                               "
19,2,"collider                                          ","53.526","yes                                               "
6,2,"confounder                                        ","16.729","yes                                               "
5,2,"collider                                          ","5.92","yes                                               "
9,2,"confounder                                        ","28.344","yes                                               "
16,2,"none                                              ","35.287","yes                                               "
2,2,"confounder                                        ","15.679","yes                                               "
24,2,"confounder                                        ","37.839","no                                                "
23,2,"confounder                                        ","39.311","yes                                               "
15,3,"confounder                                        ","25.999","yes                                               "
2,3,"confounder                                        ","19.863","yes                                               "
16,3,"confounder                                        ","52.952","no                                                "
18,3,"none                                              ","24.039","no                                                "
1,3,"collider                                          ","36.79","yes                                               "
9,3,"confounder                                        ","23.927","yes                                               "
22,3,"collider                                          ","24.143","yes                                               "
7,3,"collider                                          ","23.536","yes                                               "
21,3,"confounder                                        ","18.359","yes                                               "
23,3,"none                                              ","24.871","no                                                "
3,3,"confounder                                        ","18.303","yes                                               "
8,3,"confounder                                        ","12.406","yes                                               "
20,3,"collider                                          ","33.007","yes                                               "
11,3,"none                                              ","32.609","yes                                               "
5,3,"collider                                          ","30.367","yes                                               "
4,3,"collider                                          ","28.559","yes                                               "
19,3,"collider                                          ","53.967","yes                                               "
6,3,"confounder                                        ","26.16","yes                                               "
12,3,"none                                              ","32.271","yes                                               "
14,3,"confounder                                        ","23.288","yes                                               "
13,3,"collider                                          ","35.791","yes                                               "
17,3,"collider                                          ","56.575","yes                                               "
24,3,"none                                              ","35.734","no                                                "
10,3,"collider                                          ","38.119","yes                                               "
14,4,"confounder                                        ","33.751","yes                                               "
17,4,"collider                                          ","34.534","yes                                               "
7,4,"collider                                          ","11.234","yes                                               "
12,4,"none                                              ","17.997","yes                                               "
16,4,"none                                              ","35.176","yes                                               "
9,4,"confounder                                        ","40.142","yes                                               "
8,4,"confounder                                        ","17.081","yes                                               "
24,4,"collider                                          ","41.166","yes                                               "
5,4,"collider                                          ","23.415","yes                                               "
1,4,"collider                                          ","8.838","yes                                               "
22,4,"collider                                          ","57.497","yes                                               "
2,4,"confounder                                        ","14.775","yes                                               "
15,4,"confounder                                        ","42.783","yes                                               "
18,4,"none                                              ","65.391","no                                                "
23,4,"confounder                                        ","61.957","yes                                               "
13,4,"none                                              ","30.722","no                                                "
20,4,"collider                                          ","52.255","yes                                               "
4,4,"collider                                          ","35.492","yes                                               "
19,4,"collider                                          ","39.417","yes                                               "
21,4,"confounder                                        ","34.455","yes                                               "
6,4,"confounder                                        ","19.559","yes                                               "
3,4,"confounder                                        ","12.929","yes                                               "
11,4,"none                                              ","21.435","yes                                               "
10,4,"collider                                          ","48.919","yes                                               "
10,5,"collider                                          ","5.944","yes                                               "
11,5,"none                                              ","6.335","yes                                               "
13,5,"collider                                          ","10.103","yes                                               "
23,5,"confounder                                        ","45.289","yes                                               "
24,5,"collider                                          ","30.325","yes                                               "
4,5,"collider                                          ","13.464","yes                                               "
21,5,"confounder                                        ","27.872","yes                                               "
17,5,"collider                                          ","16.84","yes                                               "
2,5,"confounder                                        ","5.857","yes                                               "
16,5,"none                                              ","11.176","yes                                               "
18,5,"none                                              ","7.509","no                                                "
3,5,"confounder                                        ","10.297","yes                                               "
15,5,"confounder                                        ","23.295","yes                                               "
6,5,"collider                                          ","15.878","no                                                "
20,5,"collider                                          ","64.028","yes                                               "
14,5,"none                                              ","12.081","no                                                "
1,5,"collider                                          ","64.854","yes                                               "
7,5,"collider                                          ","19.146","yes                                               "
22,5,"none                                              ","62.836","no                                                "
9,5,"confounder                                        ","12.016","yes                                               "
8,5,"confounder                                        ","8.993","yes                                               "
12,5,"none                                              ","50.647","yes                                               "
19,5,"collider                                          ","156.493","yes                                               "
5,5,"collider                                          ","26.195","yes                                               "
