1,"20,21,35,13,6,2,3,16,1,31,8,29,14,30,36,23,9,33,28,25,12,10,32,11,15,34,18,19,26,22,17,7,5,27,4,24"
2,"23,24,2,16,9,5,6,19,4,34,11,32,17,33,3,26,12,36,31,28,15,13,35,14,18,1,21,22,29,25,20,10,8,30,7,27"
3,"31,32,10,24,17,13,14,27,12,6,19,4,25,5,11,34,20,8,3,36,23,21,7,22,26,9,29,30,1,33,28,18,16,2,15,35"
4,"10,11,25,3,32,28,29,6,27,21,34,19,4,20,26,13,35,23,18,15,2,36,22,1,5,24,8,9,16,12,7,33,31,17,30,14"
5,"26,27,5,19,12,8,9,22,7,1,14,35,20,36,6,29,15,3,34,31,18,16,2,17,21,4,24,25,32,28,23,13,11,33,10,30"
6,"12,13,27,5,34,30,31,8,29,23,36,21,6,22,28,15,1,25,20,17,4,2,24,3,7,26,10,11,18,14,9,35,33,19,32,16"
7,"16,17,31,9,2,34,35,12,33,27,4,25,10,26,32,19,5,29,24,21,8,6,28,7,11,30,14,15,22,18,13,3,1,23,36,20"
8,"2,3,17,31,24,20,21,34,19,13,26,11,32,12,18,5,27,15,10,7,30,28,14,29,33,16,36,1,8,4,35,25,23,9,22,6"
9,"1,2,16,30,23,19,20,33,18,12,25,10,31,11,17,4,26,14,9,6,29,27,13,28,32,15,35,36,7,3,34,24,22,8,21,5"
10,"8,9,23,1,30,26,27,4,25,19,32,17,2,18,24,11,33,21,16,13,36,34,20,35,3,22,6,7,14,10,5,31,29,15,28,12"
11,"24,25,3,17,10,6,7,20,5,35,12,33,18,34,4,27,13,1,32,29,16,14,36,15,19,2,22,23,30,26,21,11,9,31,8,28"
12,"27,28,6,20,13,9,10,23,8,2,15,36,21,1,7,30,16,4,35,32,19,17,3,18,22,5,25,26,33,29,24,14,12,34,11,31"
13,"36,1,15,29,22,18,19,32,17,11,24,9,30,10,16,3,25,13,8,5,28,26,12,27,31,14,34,35,6,2,33,23,21,7,20,4"
14,"4,5,19,33,26,22,23,36,21,15,28,13,34,14,20,7,29,17,12,9,32,30,16,31,35,18,2,3,10,6,1,27,25,11,24,8"
15,"34,35,13,27,20,16,17,30,15,9,22,7,28,8,14,1,23,11,6,3,26,24,10,25,29,12,32,33,4,36,31,21,19,5,18,2"
16,"11,12,26,4,33,29,30,7,28,22,35,20,5,21,27,14,36,24,19,16,3,1,23,2,6,25,9,10,17,13,8,34,32,18,31,15"
17,"14,15,29,7,36,32,33,10,31,25,2,23,8,24,30,17,3,27,22,19,6,4,26,5,9,28,12,13,20,16,11,1,35,21,34,18"
18,"5,6,20,34,27,23,24,1,22,16,29,14,35,15,21,8,30,18,13,10,33,31,17,32,36,19,3,4,11,7,2,28,26,12,25,9"
19,"35,36,14,28,21,17,18,31,16,10,23,8,29,9,15,2,24,12,7,4,27,25,11,26,30,13,33,34,5,1,32,22,20,6,19,3"
20,"15,16,30,8,1,33,34,11,32,26,3,24,9,25,31,18,4,28,23,20,7,5,27,6,10,29,13,14,21,17,12,2,36,22,35,19"
21,"3,4,18,32,25,21,22,35,20,14,27,12,33,13,19,6,28,16,11,8,31,29,15,30,34,17,1,2,9,5,36,26,24,10,23,7"
22,"13,14,28,6,35,31,32,9,30,24,1,22,7,23,29,16,2,26,21,18,5,3,25,4,8,27,11,12,19,15,10,36,34,20,33,17"
23,"19,20,34,12,5,1,2,15,36,30,7,28,13,29,35,22,8,32,27,24,11,9,31,10,14,33,17,18,25,21,16,6,4,26,3,23"
24,"25,26,4,18,11,7,8,21,6,36,13,34,19,35,5,28,14,2,33,30,17,15,1,16,20,3,23,24,31,27,22,12,10,32,9,29"
25,"29,30,8,22,15,11,12,25,10,4,17,2,23,3,9,32,18,6,1,34,21,19,5,20,24,7,27,28,35,31,26,16,14,36,13,33"
26,"33,34,12,26,19,15,16,29,14,8,21,6,27,7,13,36,22,10,5,2,25,23,9,24,28,11,31,32,3,35,30,20,18,4,17,1"
27,"28,29,7,21,14,10,11,24,9,3,16,1,22,2,8,31,17,5,36,33,20,18,4,19,23,6,26,27,34,30,25,15,13,35,12,32"
28,"30,31,9,23,16,12,13,26,11,5,18,3,24,4,10,33,19,7,2,35,22,20,6,21,25,8,28,29,36,32,27,17,15,1,14,34"
29,"18,19,33,11,4,36,1,14,35,29,6,27,12,28,34,21,7,31,26,23,10,8,30,9,13,32,16,17,24,20,15,5,3,25,2,22"
30,"7,8,22,36,29,25,26,3,24,18,31,16,1,17,23,10,32,20,15,12,35,33,19,34,2,21,5,6,13,9,4,30,28,14,27,11"
31,"21,22,36,14,7,3,4,17,2,32,9,30,15,31,1,24,10,34,29,26,13,11,33,12,16,35,19,20,27,23,18,8,6,28,5,25"
32,"9,10,24,2,31,27,28,5,26,20,33,18,3,19,25,12,34,22,17,14,1,35,21,36,4,23,7,8,15,11,6,32,30,16,29,13"
33,"32,33,11,25,18,14,15,28,13,7,20,5,26,6,12,35,21,9,4,1,24,22,8,23,27,10,30,31,2,34,29,19,17,3,16,36"
34,"6,7,21,35,28,24,25,2,23,17,30,15,36,16,22,9,31,19,14,11,34,32,18,33,1,20,4,5,12,8,3,29,27,13,26,10"
35,"22,23,1,15,8,4,5,18,3,33,10,31,16,32,2,25,11,35,30,27,14,12,34,13,17,36,20,21,28,24,19,9,7,29,6,26"
36,"17,18,32,10,3,35,36,13,34,28,5,26,11,27,33,20,6,30,25,22,9,7,29,8,12,31,15,16,23,19,14,4,2,24,1,21"
