"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
21,36,"Gambling                                                                                                                                                                                                                                                                                                    ","1167.778","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
1,36,"Depression                                                                                                                                                                                                                                                                                                  ","1147.465","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
24,36,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","1138.442","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
2,36,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","1098.866","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
4,36,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","1067.275","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
14,36,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","1054.658","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
19,36,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","1035.796","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
23,36,"Gym buddy                                                                                                                                                                                                                                                                                                   ","1026.291","no                            ","matrix                        ","medium                        ","inDD                          ","gym                           "
16,36,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","1013.259","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
15,36,"low salary                                                                                                                                                                                                                                                                                                  ","944.203","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
31,36,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","931.891","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
12,36,"Study groups -> good argumentation -> logical thinking                                                                                                                                                                                                                                                      ","916.715","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
8,36,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","821.541","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
29,36,"Early age drinking                                                                                                                                                                                                                                                                                          ","808.285","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
7,36,"Behavioural issues                                                                                                                                                                                                                                                                                          ","782.061","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
9,36,"Better social life                                                                                                                                                                                                                                                                                          ","774.893","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
22,36,"Drinking partents->underaged drinking -> gambling                                                                                                                                                                                                                                                           ","768.109","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
25,36,"Obesity                                                                                                                                                                                                                                                                                                     ","732.67","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
30,36,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","695.654","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
6,36,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","684.718","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
20,36,"Confidence -> high grades during terms -> regular drinking                                                                                                                                                                                                                                                  ","649.79","no                            ","matrix                        ","medium                        ","alpha                         ","student                       "
33,36,"Gym buddy                                                                                                                                                                                                                                                                                                   ","490.055","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
27,36,"Pass exams                                                                                                                                                                                                                                                                                                  ","472.463","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
11,36,"Pass exams                                                                                                                                                                                                                                                                                                  ","454.64","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
26,36,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","438.199","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
5,36,"Successful Debates                                                                                                                                                                                                                                                                                          ","397.423","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
28,36,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","384.984","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
34,36,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","369.632","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
13,36,"Poor performance                                                                                                                                                                                                                                                                                            ","345.808","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
36,36,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","332.24","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
35,36,"Low salary                                                                                                                                                                                                                                                                                                  ","280.752","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
3,36,"More friends                                                                                                                                                                                                                                                                                                ","226.546","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
10,36,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","211.594","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
32,36,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","174.746","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
18,36,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","108.898","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
17,36,"Sports avoidance                                                                                                                                                                                                                                                                                            ","9.515","no                            ","node-linked                   ","medium                        ","parallel                      ","gym                           "
21,36,"Alcoholism                                                                                                                                                                                                                                                                                                  ","71.372","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
1,36,"Loneliness                                                                                                                                                                                                                                                                                                  ","69.172","no                            ","node-linked                   ","small                         ","hier                          ","drinking                      "
24,36,"Join sports societies -> pleasant gym time -> available gym facilities                                                                                                                                                                                                                                      ","67.74","no                            ","matrix                        ","medium                        ","inDD                          ","gym                           "
2,36,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","66.564","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
4,36,"More friends -> better planning -> self-discipline                                                                                                                                                                                                                                                          ","65.501","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
14,36,"Doesn't miss deadlines -> hard work -> high grades during exam                                                                                                                                                                                                                                              ","64.14","no                            ","node-linked                   ","medium                        ","hier                          ","student                       "
19,36,"Relaxed Self                                                                                                                                                                                                                                                                                                ","62.748","no                            ","matrix                        ","medium                        ","alpha                         ","student                       "
